method,Total time (s),Test MSE
DPF,0:14:36.871095,293.02092230120707
Soft,0:16:21.215689,249.2583470804653
Stop-Gradient,0:15:22.111577,343.2085705931182
Marginal Stop-Gradient,0:16:44.489466,339.4306407361241
Optimal Transport,5:54:46.663875,1123.682989135027
Kernel,0:19:42.236091,389.8247891280774
