method,ELBO,alpha error,beta error,sigma error
DPF,-103.24058120727538,0.00380135846138,0.0404892683029174,0.0336057424545288
Soft,-103.57847808837889,0.0189166212081908,0.1891616463661193,0.0854174315929412
Stop-Gradient,-103.378251953125,0.0081470928192138,0.1016892731189727,0.070360779762268
Marginal Stop-Gradient,-103.34973770141603,0.008903791666030902,0.10005556344985962,0.06128244996070862
Optimal Transport,-106.89312606811522,0.0736131534576415,0.5812041476368904,0.4028975307941437
Kernel,-103.59463150024416,0.0072065637111663,0.2064027369022369,0.068886387348175
