method,e_x,e_l,time
DPF,0.02669383954256773,0.0635382902622223,0.7893033822377523
Soft,0.0264323930069804,0.0653447937965393,0.866706387201945
Stop-Gradient,0.0266938395425677,0.0635382902622223,0.7694324016571045
Marginal Stop-Gradient,0.0266938395425677,0.0635382902622223,1.1248168150583904
Optimal Transport,0.0491048616915941,0.0783901825547218,52.44123802185059
Kernel,0.0330664256960153,0.0726363383233547,0.7607760747273763
