method,Forward Time (s),Backward Time (s),Gradient standard deviation,alpha error
DPF,0.1718090507719251,0.0524044699139065,0.0349261046370129,0.0029120066165923
Soft,0.1704286204444037,0.0786219173007541,0.3752775345252848,0.006917005777359
Stop-Gradient,0.2019917302661472,0.0782918532689412,1.145910283389633,0.0113831484317779
Marginal Stop-Gradient,0.1309731536441379,0.0534271796544392,0.4778150691733306,0.004122637271881
Optimal Transport,1.089317268795437,0.1071060498555501,0.1163504790601398,0.0252727234363555
Kernel,0.14027508099873862,0.07870456907484266,0.3432442680410006,0.0037935926914215213
