t,observation_1
1,1.0020377801568165
2,1.0135456081549634
3,1.0036573662133692
4,1.0022783547817495
5,1.0070068817118754
6,0.9980773970019108
7,0.9969299880784407
8,1.0087219400737963
9,1.0143374757533223
10,1.0011714067049153
11,0.9941999351836075
12,0.9956365595661764
13,1.0177099308440865
14,0.9962257834926339
15,0.992661555093378
16,1.008381705017464
17,1.0022182206276449
18,0.9929590847739379
19,1.002101229300463
20,1.0052682937891695
21,1.0026814397987018
22,1.0041266545577547
23,0.9990372964428406
24,0.9932474351082582
25,0.9955909551321878
26,1.0071039685142669
27,0.9978861718791312
28,1.0061874267020041
29,0.9958546398336974
30,1.013157345615127
31,0.9965921296971819
32,1.0009718519399753
33,1.006669096122331
34,0.9895571146666464
35,1.0024299467164082
36,1.0025294025820648
37,0.9986390832973335
38,1.0098304851026652
39,1.0098213496413673
40,0.9957954177124994
41,0.9945722975412213
42,0.9831847757539144
43,0.9874157778151915
44,0.9988519158695718
45,1.0089296911225687
46,0.992644099089854
47,1.004257374177359
48,1.0189381917704765
49,1.0147066604451735
50,0.995434017763953
51,0.9993377805365465
52,1.004062017654278
53,0.9874714925512458
54,0.9979280469794978
55,0.9981626882590493
56,0.9914809355245032
57,0.9952809084306344
58,1.0103963890304826
59,1.007128724713482
60,0.9956545092908151
61,1.009563202641765
62,1.0024884654217991
63,0.992845181619324
64,1.0072531211444287
65,1.0009525069624956
66,0.9879415411486916
67,0.9940480575318789
68,1.015779619984408
69,1.0055049312329434
70,1.0033020956375898
71,0.9957741150727621
72,0.9854373449815638
73,1.011274024858537
74,0.9828838567938412
75,1.0084405125710265
76,0.9842306750529809
77,0.9884044741978635
78,0.9752390600823659
79,0.9980390310884755
80,0.9987278123526097
81,1.0180482457580138
82,0.9937368565575305
83,0.986133148191497
84,0.9937552683573209
85,1.0176121575041073
86,1.020440613109932
87,0.9795977208575192
88,0.9733601551195588
89,1.0227093038728177
90,0.9858569288301852
91,0.9970111453020737
92,0.9711383583363283
93,1.02335362104088
94,1.0038703557668793
95,1.0004264705159696
96,1.0123231939772714
97,0.9998509689272523
98,1.0030146893746845
99,1.0005474204080447
100,0.9834305954337971
101,1.0054906877004686
102,1.0125286838652647
103,1.0114080478341096
104,1.0003330203237903
105,1.0066014729396553
106,0.9794327611322556
107,1.0048897179195122
108,0.9779845980065012
109,0.9937609066240483
110,1.014722745220712
111,1.0031781584665642
112,1.0091006045925937
113,0.9934879128546955
114,0.9912989757213858
115,1.0190722818139057
116,1.0292912420770886
117,0.9947213079302303
118,1.0009596398795066
119,0.9977758727272301
120,0.9927212932657155
121,1.0082029722408055
122,1.0056319491052597
123,0.9983435742328282
124,1.0063764926604755
125,1.0039367894653095
126,0.9987735090303707
127,0.9997308786937644
128,1.0078997375333303
129,0.9956366804665474
130,1.0026398340411564
131,0.9988824900830464
132,1.0069688678255069
133,1.0005477047210116
134,0.9908311314776475
135,0.996827533770003
136,1.0047251918042188
137,0.995177648066805
138,0.9979368023949794
139,0.9875274787309641
140,1.0050914748284496
141,0.9951398482703923
142,1.012618364051553
143,1.0063710557588283
144,1.0070334150722196
145,0.9980968708879558
146,1.0060139241029824
147,0.9834023375518891
148,0.9988245472228671
149,0.9960816417998363
150,1.00330997079516
151,0.9984117403585461
152,0.9916507025824532
153,0.9849275785912243
154,1.0011749661098055
155,1.0021148853568047
156,1.0060992409071066
157,0.9915081909018293
158,0.9955735662192519
159,0.9869933429148535
160,1.0119573276378935
161,0.9809082137604244
162,1.0031794992591254
163,1.0141627458796352
164,0.9928477047852831
165,0.9968003637107716
166,1.0230327083159716
167,1.0058448134906592
168,1.0110306407436163
169,0.9947029494299321
170,0.9925497979488852
171,1.016339771092639
172,1.0010567247732427
173,1.007176019530099
174,1.0043136999094233
175,0.9965133233866043
176,1.0043865703377561
177,0.9779145078781556
178,1.003177968468547
179,0.9835380956045277
180,0.9992278026376767
