method,ELBO,alpha error,beta error,sigma error
DPF,-106.3267270324707,0.004392390012741,0.0400548249483108,0.0273529648780822
Soft,-106.57376678466797,0.0122214288711547,0.1791942119598388,0.0743545532226562
Stop-Gradient,-106.19852577514648,0.0125943050384521,0.1127279847860336,0.0489183664321899
Marginal Stop-Gradient,-106.26173168945311,0.0044362068176269,0.1148824572563171,0.0493565797805786
Optimal Transport,-108.91861884155271,0.0560506799221038,1.4022525012493134,0.2703300893306732
Kernel,-106.6034797241211,0.01460583448410031,0.26824663281440736,0.07710939645767212
