method,Forward Time (s),Backward Time (s),Gradient standard deviation,alpha error
DPF,0.1866257985432942,0.0830255481931898,0.0348478085901287,0.0034991011619567
Soft,0.2269185913933648,0.1371253728866577,0.379774410598605,0.0052932202816009
Stop-Gradient,0.1603122684690687,0.0900553729799058,1.165438588305033,0.0061886801719665
Marginal Stop-Gradient,0.1554722123675876,0.0623408158620198,0.4755655366568434,0.0052201607227325
Optimal Transport,2.8514928817749023,0.1017652220196194,12.953377793992516,0.0841883599758148
Kernel,0.10840204026963976,0.06793345345391168,0.347013387643315,0.003923725366592401
