method,e_x,e_l,time
DPF,0.0268989484459161,0.0636953045129776,0.7620928287506104
Soft,0.0262295764535665,0.0654205315113067,0.8491302728652954
Stop-Gradient,0.0268989484459161,0.0636953045129776,0.7522934675216675
Marginal Stop-Gradient,0.0268989484459161,0.0636953045129776,0.7741714715957642
Optimal Transport,0.0487680919170379,0.0784649817943573,28.878633975982662
Kernel,0.03322825235128403,0.0725778205394745,0.7045671939849854
